ds,yhat,yhat_lower,yhat_upper
2021-01-23,3575.5081422933263,3224.499735242115,3919.7188125410376
2021-01-24,3567.2072091582327,3228.3718207986535,3904.8469084612257
2021-01-25,3550.2458861360005,3223.283132915606,3874.734823199744
2021-01-26,3776.0666326525948,3440.6795439628695,4119.674676084573
2021-01-27,3476.961600733853,3128.6886221882687,3806.3837109370725
2021-01-28,3448.2135338878775,3102.5200533402813,3778.5178624354908
2021-01-29,3426.893720878682,3086.120248988337,3768.4051430395198
2021-01-30,3371.826661783856,3036.0229964724595,3695.739605764281
2021-01-31,3350.768725255114,3024.503134874319,3673.3295052461763
2021-02-01,3325.490736082049,2983.0328002258034,3673.915584425883
2021-02-02,3297.719289084947,2958.0576876627165,3616.6038979743576
2021-02-03,3250.4691825914324,2910.8741224765777,3576.9850748457457
2021-02-04,3228.81165992753,2875.3911656913756,3566.6756024395772
2021-02-05,3220.023225407651,2892.136214286205,3579.2565912634486
2021-02-06,3182.8637057907813,2870.924689744913,3570.1799415493615
2021-02-07,3184.887907879097,2833.8868180662985,3504.216062261699
2021-02-08,3187.5287270396343,2854.5340591955487,3513.705376776828
2021-02-09,3192.042628361227,2866.605518360077,3525.415450324986
2021-02-10,3180.8498813622286,2841.4369864770056,3524.550607311291
2021-02-11,3198.3141225474405,2868.3189378497914,3568.8820459024496
2021-02-12,3230.905797380188,2870.24964011028,3568.2855320436115
2021-02-13,3236.497840847879,2888.152733504419,3554.2253890499587
2021-02-14,3281.6975454115627,2951.9375053240715,3626.9713098516645
2021-02-15,3326.9519886209023,2971.8074418358183,3650.5468818811214
2021-02-16,3372.5173909574714,3026.9739677617677,3714.22744050563
2021-02-17,3399.8241791557934,3070.0634553560762,3760.921801035436
2021-02-18,3452.281685045472,3120.078019383723,3783.771657251912
2021-02-19,3515.466365949304,3188.597328426435,3855.327123241182
2021-02-20,3546.4412371868834,3209.5004063761266,3872.416263854566
2021-02-21,3611.109812343265,3281.772416605032,3929.76331304531
2021-02-22,3669.341304359602,3348.361925100287,4035.829648402421
2021-02-23,3720.956890483191,3370.1266744595555,4064.5363379069404
2021-02-24,3747.1083170356283,3407.425804344347,4081.952099217203
2021-02-25,3791.0923579120968,3443.3832526376077,4118.158612779847
2021-02-26,3838.5446926193104,3478.6255608708225,4184.2820064172265
2021-02-27,3846.7606803491926,3505.925976979088,4193.207775972387
2021-02-28,3882.0462252622046,3547.7595745621816,4220.503108242972
2021-03-01,3904.835503475863,3562.325470088713,4238.051879835092
2021-03-02,3915.6654912067866,3574.8517407339273,4254.736448104327
2021-03-03,3896.538823212975,3538.2037773006004,4224.663232606539
2021-03-04,3891.718859872036,3547.0064851311176,4232.769486595129
2021-03-05,3887.900995685614,3553.8701081565023,4240.221780150058
