ds,y
2019-10-11,3805.6999999999994
2019-10-12,3789.2999999999993
2019-10-13,3799.299999999999
2019-10-14,3813.5
2019-10-15,3793.2000000000003
2019-10-16,3725.0999999999995
2019-10-17,3690.5000000000005
2019-10-18,3344.899999999999
2019-10-19,3300.3
2019-10-20,3224.6
2019-10-21,3189.3999999999996
2019-10-22,3272.2
2019-10-23,3300.7999999999997
2019-10-24,3194.5999999999995
2019-10-25,3679.4
2019-10-26,3624.4000000000005
2019-10-27,3568.2000000000003
2019-10-28,3254.6999999999994
2019-10-29,3431.7999999999993
2019-10-30,3359.3000000000006
2019-10-31,3202.300000000001
2019-11-01,2787.3000000000006
2019-11-02,2879.7000000000003
2019-11-03,2941.4000000000005
2019-11-04,2904.100000000001
2019-11-05,2933.3999999999996
2019-11-06,2950.999999999999
2019-11-08,2873.100000000001
2019-11-09,3060.8000000000006
2019-11-10,3120.4999999999995
2019-11-11,3138.5
2019-11-12,3123.5999999999995
2019-11-13,3119.1999999999994
2019-11-14,3114.3999999999996
2019-11-15,3007.699999999999
2019-11-16,3488.2999999999993
2019-11-17,3546.0000000000005
2019-11-18,3539.799999999999
2019-11-19,3501.9
2019-11-20,3503.9999999999995
2019-11-21,3509.9000000000005
2019-11-22,3382.1
2019-11-23,3244.4
2019-11-24,3316.6999999999994
2019-11-25,3333.1000000000004
2019-11-26,3300.8000000000006
2019-11-27,3270.1999999999994
2019-11-28,3237.600000000001
2019-11-29,3183.9000000000005
2019-11-30,3975.500000000001
2019-12-01,4046.3999999999996
2019-12-02,3867.599999999999
2019-12-03,3818.4
2019-12-04,4013.4
2019-12-05,3975.8
2019-12-06,3775.8000000000006
2019-12-08,3020.5999999999995
2019-12-09,3004.0
2019-12-10,3183.2999999999997
2019-12-11,3247.4999999999995
2019-12-12,3253.9999999999995
2019-12-13,3305.299999999999
2019-12-14,3336.2999999999997
2019-12-15,3474.2999999999997
2019-12-16,3560.6999999999994
2019-12-17,3582.8
2019-12-18,3587.7
2019-12-19,3587.9999999999986
2019-12-20,3573.1
2019-12-21,3489.0000000000005
2019-12-22,3179.6999999999994
2019-12-23,3259.1
2019-12-24,3284.9
2019-12-25,3216.5999999999995
2019-12-26,3056.0999999999995
2019-12-27,3115.1
2019-12-28,3000.9000000000005
2019-12-29,3732.6000000000004
2019-12-30,3818.5000000000005
2019-12-31,3815.399999999999
2020-01-01,3734.9000000000005
2020-01-02,3702.9
2020-01-03,3700.8
2020-01-04,3596.5000000000005
2020-01-05,3309.2
2020-01-13,3023.2999999999993
2020-01-14,3151.4999999999995
2020-01-15,3322.400000000001
2020-01-16,3363.0999999999995
2020-01-17,3342.199999999999
2020-01-18,3241.9
2020-01-19,3682.3
2020-01-20,3642.2000000000003
2020-01-21,3668.7999999999993
2020-01-22,3654.2999999999993
2020-01-23,3729.9999999999995
2020-01-24,3736.199999999999
2020-01-25,3585.7000000000003
2020-01-26,3583.399999999999
2020-01-27,3650.0
2020-01-28,3690.9
2020-01-29,3720.8000000000006
2020-01-30,3754.800000000001
2020-01-31,3731.1
2020-02-01,3607.5000000000005
2020-02-02,3162.5000000000005
2020-02-03,3022.2
2020-02-04,3200.899999999999
2020-02-05,3317.1999999999985
2020-02-13,3360.4999999999986
2020-02-14,3339.199999999999
2020-02-15,3235.9999999999995
2020-02-16,3255.9
2020-02-17,3310.6
2020-02-18,3304.0
2020-02-19,3335.7999999999993
2020-02-20,3358.2000000000003
2020-02-21,3320.7000000000003
2020-02-22,3210.0000000000005
2020-02-23,3780.1999999999994
2020-02-24,3853.8000000000006
2020-02-25,3893.0
2020-02-26,3929.4
2020-02-27,3945.7999999999993
2020-02-28,3896.7999999999997
2020-02-29,3745.200000000001
2020-03-01,3322.699999999999
2020-03-02,3363.6999999999994
2020-03-03,3313.8
2020-03-04,3327.4
2020-03-05,3377.6000000000004
2020-03-13,3379.3
2020-03-14,3287.1000000000004
2020-03-15,3728.8
2020-03-16,3622.2999999999997
2020-03-17,3483.4
2020-03-18,3682.3
2020-03-19,3642.2000000000003
2020-03-20,3668.7999999999993
2020-03-21,3654.2999999999993
2020-03-22,2721.1
2020-03-23,2727.3
2020-03-24,2696.000000000001
2020-03-25,2685.999999999999
2020-03-26,2663.5
2020-03-27,2685.9
2020-03-28,2768.9999999999995
2020-03-29,3019.2000000000003
2020-03-30,3072.4
2020-03-31,3118.0000000000005
2020-04-01,3026.3999999999987
2020-04-02,3008.4000000000005
2020-04-03,2989.0
2020-04-04,2903.800000000001
2020-04-05,3344.4999999999995
2020-04-13,3412.5
2020-04-14,3426.2999999999993
2020-04-15,3470.8000000000006
2020-04-16,3489.1000000000004
2020-04-17,3453.1000000000004
2020-04-18,3368.000000000001
2020-04-19,3259.899999999999
2020-04-20,3338.5000000000005
2020-04-21,3332.4
2020-04-22,3214.9000000000005
2020-04-23,3228.9
2020-04-24,3209.9
2020-04-25,3128.399999999999
2020-04-26,3845.3
2020-04-27,3948.7000000000003
2020-04-28,4012.1
2020-04-29,3939.6999999999985
2020-04-30,3891.7000000000003
2020-05-01,3923.2
2020-05-02,3863.0999999999995
2020-05-03,2917.7000000000003
2020-05-04,2952.4000000000005
2020-05-05,3000.0000000000005
2020-05-13,3003.3
2020-05-14,3020.1
2020-05-15,3143.400000000001
2020-05-16,3235.0
2020-05-17,3470.7000000000003
2020-05-18,3511.8000000000006
2020-05-19,3532.7
2020-05-20,3554.5
2020-05-21,3555.099999999999
2020-05-22,3515.0999999999995
2020-05-23,3361.2000000000003
2020-06-01,3056.4000000000005
2020-06-02,3093.9
2020-06-03,3139.6999999999994
2020-06-04,3177.5
2020-06-05,3193.7
2020-07-01,3162.2999999999997
2020-07-02,3044.6999999999994
2020-07-03,3575.9000000000005
2020-07-04,3676.2000000000007
2020-07-05,3671.599999999999
2020-08-01,3681.500000000001
2020-08-02,3718.1000000000004
2020-08-03,3695.0
2020-08-04,3553.1999999999994
2020-08-05,3486.5999999999995
2020-09-01,3557.9999999999995
2020-09-02,3515.599999999999
2020-09-03,3456.6000000000004
2020-09-04,3311.1999999999994
2020-09-05,3336.9999999999986
2020-10-01,3275.3999999999996
2020-10-02,3826.8000000000006
2020-10-03,3788.0999999999985
2020-10-04,3827.3
2020-10-05,3818.9999999999995
2020-11-01,3728.8
2020-11-02,3622.2999999999997
2020-11-03,3483.4
2020-11-04,3569.1000000000004
2020-11-05,3678.4000000000015
2020-12-01,3741.5
2020-12-02,3763.7999999999997
2020-12-03,3726.600000000001
2020-12-04,3642.099999999999
2020-12-05,3406.9999999999995
